nombre, artista
To Love Somebody,Bee Gees
Like a Rolling Stone,Bob Dylan
Think,Aretha Franklin
Wonderful World,Sam Cooke
A day in the life,The Beatles
For once in my life,Stevie Wonder
While my guitar gently weeps,The Beatles
All along the watchtower,Jimi Hendrix
Somethin stupid,Frank Sinatra
Brown Eyed Girl,Van Morrison
Good times bad times,Led Zeppelin
I’m a believer,The Monkees
My generation,The Who
