nombre, artista
No me olvides,La Beriso
Me estas tratando mal,Guasones
Para no olvidar,Los Rodriguez
Igual que ayer,Enanitos Verdes
La Flaca,Jarabe de palo
Loco por volverla a ver,Las pastillas del abuelo
Zafar,La vela puerca
Lo artesanal,viejas locas
Solo voy,La 25
Amando a mi guitarra,Los gardelitos
