nombre, artista
Mil Horas,Los Abuelos de la Nada
Luna de Miel en la mano,Virus
La calle es su lugar,GIT
Mujer Amante,Rata Blanca
Amanece en la ruta,Suéter
La rubia tarada,Sumo
Africa,Toto
Billie Jean,Michael Jackson
Another one bites the dust,Queen
Take on me,A-ha
Eye of tiger,Survivor
You give love a bad name,Bon Jovi
In the air tonight,Phil Collins
Big in Japan,Alphaville
The Look,Roxette
