nombre, artista
Hotel California,Eagles
Sultans of swing,Dire Straits
Sweet Home Alabama,Lynyrd Skynyrd
Roxanne,The Police
Have you ever seen the rain?,Creedence Clearwater Revival
You’re So Vain,Carly Simon
My Sharona,The Knack
Dancing Queen,ABBA
Cocaine,Eric Clapton
ABC,The Jackson 5
Youre the first the last my everything,Barry White
